Serial Number;Location;Species;Surface;Length;Width;Thickness;Air/Klin Dried;;;;;;;;;;;;;;;;;;;
1001;R1M2;Cherry;Rough;"8'-0""";5 -  1/2  '';4.4;Air;;;;;;;;;;;;;;;;;;;
1002;R1M2;Cherry;Rough;8'-2'';7 -  1/2  '';4.4;Air;;;;;;;;;;;;;;;;;;;
1003;R1M2;Cherry;Rough;8'-2'';7 -  1/2  '';4.4;Air;;;;;;;;;;;;;;;;;;;
1004;R1M2;Cherry;Rough;8'-2'';8 -  1/2  '';4.4;Air;;;;;;;;;;;;;;;;;;;
1005;R1M2;Cherry;Rough;8'-2'';7         '';4.4;Air;;;;;;;;;;;;;;;;;;;
1006;R1M2;Cherry;Rough;8'-2'';7 -  1/2  '';4.4;Air;;;;;;;;;;;;;;;;;;;
1007;R1M2;Cherry;Rough;8'-2'';7         '';4.4;Air;;;;;;;;;;;;;;;;;;;
1008;R1M2;Cherry;Rough;8'-2'';6         '';10.4;Air;;;;;;;;;;;;;;;;;;;
1009;R1M2;Cherry;Rough;8'-2'';5         '';5.4;Air;;;;;;;;;;;;;;;;;;;
1010;R1M2;Cherry;Rough;8'-2'';9 -  3/4  '';12.4;Air;;;;;;;;;;;;;;;;;;;
1011;R1M2;Cherry;Rough;8'-2'';9 -  1/4  '';10.4;Air;;;;;;;;;;;;;;;;;;;
1012;R1M2;Cherry;Rough;8'-2'';8         '';11.4;Air;;;;;;;;;;;;;;;;;;;
1013;R1M2;Cherry;Rough;8'-2'';8 -  3/4  '';20/4;Air;;;;;;;;;;;;;;;;;;;
1014;R1M2;Cherry;Rough;8'-2'';9 -  1/2  '';5.4;Air;;;;;;;;;;;;;;;;;;;
1015;R1M2;Cherry;Rough;8'-2'';9         '';5.4;Air;;;;;;;;;;;;;;;;;;;
1016;R1M2;Cherry;Rough;8'-2'';8         '';5.4;Air;;;;;;;;;;;;;;;;;;;
1017;R1M2;Cherry;Rough;8'-2'';7 -  1/2  '';5.4;Air;;;;;;;;;;;;;;;;;;;
1018;R1M2;Cherry;Rough;8'-2'';4 -  1/2  '';18/4;Air;;;;;;;;;;;;;;;;;;;
1019;R1M2;Cherry;Rough;8'-2'';4 -  1/2  '';18/4;Air;;;;;;;;;;;;;;;;;;;
1020;R1M2;Cherry;Rough;8'-2'';9         '';9.4;Air;;;;;;;;;;;;;;;;;;;
1021;R1M2;Cherry;Rough;8'-2'';6         '';4.4;Air;;;;;;;;;;;;;;;;;;;
1022;R1M2;Cherry;Rough;8'-2'';;;Air;;;;;;;;;;;;;;;;;;;
1023;R1M2;Cherry;Rough;8'-2'';;;Air;;;;;;;;;;;;;;;;;;;
1024;R1M2;Cherry;Rough;;;;Air;;;;;;;;;;;;;;;;;;;
1025;R1M2;Cherry;Rough;;;;Air;;;;;;;;;;;;;;;;;;;
1026;R1M2;Cherry;Rough;;;;Air;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
