name;species;quantity;length;width;thickness;grade
Support Beam;Cedar;34;2'-10";7'-7";8/4";1
Support Beam;Cedar;26;10'-0";11'-4";10/4";2
Floor Plank;Walnut;22;3'-8";5'-11";8/4";2
Support Beam;Ash;3;3'-9";3'-4";8/4";1
Panel;Pine;13;4'-11";1'-10";7/4";2
Panel;Pine;3;6'-8";1'-11";9/4";1
Chair Arm;Oak;7;7'-6";11'-6";7/4";4
Support Beam;Cedar;79;1'-11";4'-8";5/4";3
Stair Tread;Pine;11;2'-1";7'-1";9/4";1
Cabinet Door;Cedar;94;8'-1";5'-0";9/4";3
Shelf;Walnut;24;4'-1";5'-7";10/4";3
Table Leg;Walnut;49;3'-3";2'-1";5/4";1
Stair Tread;Maple;2;2'-8";4'-4";9/4";1
Table Leg;Pine;2;3'-11";4'-4";4/4";3
Cabinet Door;Birch;30;7'-10";12'-6";4/4";1
Trim Piece;Cherry;72;4'-5";9'-6";5/4";1
Trim Piece;Oak;45;6'-11";7'-1";4/4";4
Floor Plank;Maple;7;5'-10";11'-9";5/4";2
Support Beam;Ash;97;11'-6";6'-9";2/4";3
Cabinet Door;Birch;80;8'-3";8'-9";7/4";1
Cabinet Door;Ash;2;3'-0";1'-1";2/4";3
Trim Piece;Ash;32;9'-9";7'-11";9/4";2
Support Beam;Birch;26;7'-2";8'-1";7/4";3
Shelf;Birch;42;1'-7";10'-5";1/4";4
Trim Piece;Cherry;45;4'-2";2'-3";3/4";2
Chair Arm;Cedar;11;5'-11";4'-2";4/4";2
Table Leg;Birch;3;1'-10";4'-4";3/4";1
Window Frame;Walnut;83;8'-6";6'-8";1/4";3
Window Frame;Oak;1;5'-10";2'-9";10/4";2
Cabinet Door;Cedar;1;1'-7";3'-3";1/4";4
