ID;Location;Quantity;Length;Width;Thickness;Grade;Price;Description;Date;Species
1;Yard A;4;6'-9";1'-10";8/4";1;84.52;Piece;N/A;Maple
2;Yard A;3;4'-4";5'-9";7/4";1;68.61;Bulk;N/A;Birch
3;Warehouse 1;72;7'-6";4'-3";2/4";4;2.03;Log;2024-11-30;Walnut
4;Depot Y;57;7'-5";9'-7";1/4";3;0.39;Bulk;N/A;Birch
5;Depot Y;65;12'-0";1'-5";3/4";3;1.16;Piece;N/A;Maple
6;Depot Y;64;8'-5";9'-5";5/4";4;3.18;Piece;N/A;Walnut
7;Depot X;18;5'-5";6'-7";2/4";1;0.32;Piece;N/A;Birch
8;Yard A;69;7'-3";4'-7";6/4";1;2.71;Bulk;N/A;Pine
9;Yard B;2;8'-6";7'-1";2/4";1;119.31;Log;2024-03-25;Walnut
10;Warehouse 1;51;10'-7";2'-6";3/4";4;8.72;Log;2023-01-16;Birch
11;Depot Y;89;5'-3";3'-11";4/4";1;1.9;Piece;N/A;Pine
12;Warehouse 1;12;5'-4";11'-0";7/4";1;1.55;Bulk;N/A;Oak
13;Depot Y;65;7'-5";4'-3";9/4";3;7.41;Piece;N/A;Walnut
14;Depot Y;77;12'-4";4'-11";8/4";1;4.02;Log;2025-02-23;Maple
15;Yard A;79;8'-6";1'-9";8/4";4;2.23;Piece;N/A;Birch
16;Warehouse 2;88;9'-9";2'-1";5/4";3;1.5;Log;2023-12-21;Cedar
17;Yard B;14;5'-1";9'-11";8/4";2;19.4;Bulk;N/A;Cherry
18;Yard B;50;6'-7";3'-10";7/4";4;5.85;Piece;N/A;Oak
19;Warehouse 2;73;11'-8";1'-11";4/4";3;3.07;Piece;N/A;Birch
20;Depot X;53;12'-1";12'-3";10/4";3;2.97;Bulk;N/A;Ash
21;Yard A;95;3'-4";1'-5";2/4";4;2.4;Piece;N/A;Maple
22;Yard A;29;1'-2";7'-5";3/4";2;9.17;Log;2025-03-25;Birch
23;Warehouse 2;15;6'-3";2'-2";3/4";3;2.06;Bulk;N/A;Ash
24;Depot X;39;4'-6";5'-11";6/4";4;1.72;Bulk;N/A;Cherry
25;Yard A;67;8'-7";1'-3";4/4";2;4.03;Log;2024-03-31;Pine
26;Warehouse 2;13;8'-2";4'-4";10/4";1;30.34;Bulk;N/A;Maple
27;Warehouse 1;47;11'-0";11'-7";1/4";3;1.98;Log;2024-12-25;Cherry
28;Depot Y;50;11'-9";9'-0";1/4";3;6.61;Piece;N/A;Oak
29;Depot X;4;12'-1";5'-6";4/4";1;61.42;Piece;N/A;Ash
30;Yard B;56;5'-4";9'-3";10/4";3;5.83;Log;2023-08-28;Ash
31;Depot X;39;2'-0";5'-2";5/4";3;6.89;Bulk;N/A;Oak
32;Warehouse 2;43;2'-3";2'-7";5/4";4;0.52;Bulk;N/A;Walnut
33;Warehouse 1;97;3'-0";9'-8";2/4";4;3.19;Piece;N/A;Walnut
34;Depot X;38;2'-6";8'-10";10/4";3;5.56;Piece;N/A;Walnut
35;Depot X;19;7'-5";8'-5";8/4";2;7.36;Bulk;N/A;Cedar
36;Yard A;35;11'-9";7'-11";5/4";4;7.38;Bulk;N/A;Maple
37;Warehouse 2;99;12'-2";10'-5";1/4";3;4.21;Bulk;N/A;Pine
38;Depot Y;32;5'-2";10'-4";7/4";2;11.65;Piece;N/A;Cherry
39;Depot Y;49;2'-10";6'-2";4/4";3;4.0;Piece;N/A;Walnut
40;Depot Y;10;3'-1";9'-11";1/4";2;26.63;Bulk;N/A;Birch
41;Warehouse 1;51;7'-7";4'-3";9/4";2;2.07;Bulk;N/A;Birch
42;Depot X;49;8'-5";5'-10";2/4";1;0.26;Log;2025-02-18;Ash
43;Warehouse 2;37;11'-7";7'-11";9/4";4;3.69;Log;2024-02-09;Ash
44;Warehouse 1;16;12'-2";7'-11";2/4";2;6.82;Piece;N/A;Maple
45;Warehouse 1;91;9'-8";2'-9";6/4";3;1.01;Piece;N/A;Walnut
46;Yard A;30;9'-10";3'-1";2/4";2;3.57;Piece;N/A;Walnut
47;Depot Y;3;1'-7";7'-11";9/4";1;96.76;Bulk;N/A;Maple
48;Depot Y;95;5'-8";10'-3";10/4";1;5.04;Bulk;N/A;Pine
49;Warehouse 1;61;8'-6";1'-6";6/4";1;0.9;Bulk;N/A;Oak
50;Depot X;85;7'-2";11'-11";1/4";4;3.57;Bulk;N/A;Walnut
51;Warehouse 1;99;7'-10";5'-11";2/4";1;3.12;Log;2024-04-22;Birch
52;Depot Y;25;9'-2";4'-6";9/4";3;14.81;Piece;N/A;Walnut
53;Warehouse 1;16;7'-1";10'-1";7/4";3;12.76;Bulk;N/A;Cedar
54;Depot X;79;2'-7";3'-7";4/4";3;0.74;Bulk;N/A;Walnut
55;Yard A;67;1'-4";11'-5";5/4";3;5.07;Log;2024-05-19;Ash
56;Depot Y;28;3'-9";2'-1";4/4";2;2.0;Bulk;N/A;Oak
57;Warehouse 2;100;2'-0";9'-4";4/4";2;3.01;Bulk;N/A;Oak
58;Warehouse 1;34;12'-8";10'-9";3/4";3;13.16;Piece;N/A;Birch
59;Warehouse 2;77;2'-4";1'-8";1/4";3;4.62;Piece;N/A;Pine
60;Depot Y;64;12'-2";11'-7";3/4";3;5.31;Log;2025-01-17;Walnut
61;Warehouse 2;62;4'-7";4'-5";7/4";4;6.91;Piece;N/A;Cherry
